tweet_id,tweet_date,tweet_source,tweet_text,tweet_user,tweet_favorites,tweet_retweets,
1.27E+18,19-06-2020 11:23,Twitter Web App,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",homeopathy2010,0,21,
,,,,,,,
1.27E+18,19-06-2020 11:19,Twitter for Android,RT @kunwar_ps: China has decided to fight with everyone... But so did Germany .. leading to WW-2.. and collapse of Germany. We may not see…,SenShanoj,0,4,
,,,,,,,
1.27E+18,19-06-2020 11:15,Twitter for Android,"Just a reminder.
Before posting #BoycottChina. Just check that you are not posting that post using a Chinese phone.… https://t.co/13mFr5E96t",MohdAnfaal,0,0,
,,,,,,,
1.27E+18,19-06-2020 10:57,Twitter for Android,We con't forgot your sacrifice for our nation selute sir #RIP #IndianArmy #SanthoshBabu #indiavschina https://t.co/rqcQ0cMCpR,ImBiradar4,1,0,
,,,,,,,
1.27E+18,19-06-2020 10:31,Twitter for iPad,"RT @glanost7: (3). it is a greeting from HK, we have a experience on boycotting MIC product, we have a list of brand which is MIC and MIC-f…",glanost7,0,2,
,,,,,,,
1.27E+18,19-06-2020 10:26,Twitter for iPad,"(3). it is a greeting from HK, we have a experience on boycotting MIC product, we have a list of brand which is MIC… https://t.co/38fkM6PIj0",glanost7,2,2,
,,,,,,,
1.27E+18,19-06-2020 09:50,Twitter for Android,RT @iyer_rn: @rvaidya2000 @sgurumurthy @kanimozhi @girishalva @prafullaketkar @Prof_Hariom @ranganaathan @jspandey_ @SaveSabrimala @ensine…,iyer_rn,0,1,
,,,,,,,
1.27E+18,19-06-2020 09:41,Twitter for Android,@XiaomiIndia @manukumarjain @RedmiIndia @IndiaPOCO @MiIndiaSupport  why MI Apps are in this list 😠😠😠😠😠😠😠why you peo… https://t.co/9YKJ7vtkxO,VChittade,0,0,
,,,,,,,
1.27E+18,19-06-2020 09:34,Twitter for Android,"Now the released  #IndianSoldiers will be awarded with Vir Chakra. 😂

#China #indiavschina",BabyYoda008,0,0,
,,,,,,,
1.27E+18,19-06-2020 09:17,Twitter for Android,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",akshaychandorka,0,21,
,,,,,,,
